源文件: /media/hongrobot/jzao/evo1_datasets/Evo1_MetaWorld_Dataset/data/chunk-000/episode_000000.parquet
总输出行数: 97
列名: ['observation.state', 'action', 'timestamp', 'frame_index', 'episode_index', 'index', 'task_index']

                                     observation.state                                          action  timestamp  frame_index  episode_index  index  task_index
0             [0.0045842, 0.60138816, 0.19514346, 1.0]      [1.0541579, -0.013881375, -0.7519798, 0.0]   0.000000            0              0      0           0
1            [0.005401991, 0.6005657, 0.19424827, 1.0]      [1.04598, -0.0056569334, -0.75222486, 0.0]   0.033333            1              0      1           0
2             [0.0076309848, 0.59925, 0.19216168, 1.0]       [1.0237004, 0.007499312, -0.7398565, 0.0]   0.066667            2              0      2           0
3            [0.011483972, 0.5977793, 0.18884975, 1.0]      [0.98517364, 0.022206409, -0.7052555, 0.0]   0.100000            3              0      3           0
4            [0.016862059, 0.5965331, 0.18451053, 1.0]      [0.93138885, 0.034668308, -0.6596123, 0.0]   0.133333            4              0      4           0
5            [0.023481224, 0.5957834, 0.17942043, 1.0]        [0.865193, 0.04216567, -0.60711336, 0.0]   0.166667            5              0      5           0
6      [0.030971617, 0.5956538, 0.17385481, 0.9998811]       [0.7902863, 0.043462336, -0.5504744, 0.0]   0.200000            6              0      6           0
7      [0.038952418, 0.5961353, 0.16805723, 0.9994624]        [0.7104768, 0.03864646, -0.4919209, 0.0]   0.233333            7              0      7           0
8     [0.046576012, 0.5971317, 0.16235442, 0.99909276]        [0.63424015, 0.0286828, -0.4345588, 0.0]   0.266667            8              0      8           0
9       [0.053213842, 0.59833, 0.15721063, 0.99876654]      [0.5678615, 0.016700063, -0.38292903, 0.0]   0.300000            9              0      9           0
10    [0.059911963, 0.5994436, 0.15254262, 0.99847895]     [0.5008802, 0.0055638924, -0.33613887, 0.0]   0.333333           10              0     10           0
11       [0.06675211, 0.600417, 0.14822808, 0.9982256]    [0.43247867, -0.004170387, -0.29293036, 0.0]   0.366667           11              0     11           0
12     [0.07348372, 0.60127467, 0.14419505, 0.9980027]      [0.36516255, -0.012746572, -0.252564, 0.0]   0.400000           12              0     12           0
13     [0.079833925, 0.6020492, 0.14041969, 0.9978069]    [0.30166054, -0.020491522, -0.21478985, 0.0]   0.433333           13              0     13           0
14      [0.08560486, 0.6027564, 0.13690723, 0.9976352]     [0.24395119, -0.027564086, -0.1796534, 0.0]   0.466667           14              0     14           0
15    [0.090687245, 0.6033929, 0.13367502, 0.99748474]     [0.1931274, -0.033929065, -0.84732443, 0.6]   0.500000           15              0     15           0
16      [0.09477171, 0.6037408, 0.1300922, 0.99310416]      [0.15228267, -0.03740796, -0.8114925, 0.6]   0.533333           16              0     16           0
17        [0.0977742, 0.6037394, 0.12569687, 0.982269]     [0.122257836, -0.03739353, -0.7675368, 0.6]   0.566667           17              0     17           0
18    [0.099900894, 0.6035056, 0.120504335, 0.9657351]     [0.100990936, -0.03505605, -0.7156102, 0.6]   0.600000           18              0     18           0
19      [0.10144583, 0.6031801, 0.11472785, 0.9441738]     [0.08554153, -0.031800956, -0.6578446, 0.6]   0.633333           19              0     19           0
20    [0.10268005, 0.60286635, 0.10862708, 0.91818154]     [0.073199324, -0.02866356, -0.5968365, 0.6]   0.666667           20              0     20           0
21     [0.10380292, 0.6026184, 0.102437064, 0.8882879]    [0.061970644, -0.02618382, -0.53493613, 0.6]   0.700000           21              0     21           0
22     [0.10493188, 0.6024489, 0.09634284, 0.85496324]   [0.050681002, -0.024488704, -0.47399372, 0.6]   0.733333           22              0     22           0
23    [0.106113024, 0.6023438, 0.09047733, 0.81862545]   [0.038869638, -0.023437949, -0.41533864, 0.6]   0.766667           23              0     23           0
24   [0.107340366, 0.6022764, 0.084929176, 0.77964544]      [0.02659622, -0.022763975, -0.359857, 0.6]   0.800000           24              0     24           0
25      [0.1085765, 0.6022178, 0.079753175, 0.7383527]    [0.01423484, -0.022178184, -0.30809692, 0.6]   0.833333           25              0     25           0
26     [0.10977035, 0.60214376, 0.07498009, 0.6950398]    [0.002296324, -0.02143758, -0.26036605, 0.6]   0.866667           26              0     26           0
27    [0.11087039, 0.60203767, 0.070624314, 0.6499665]  [-0.008704074, -0.020376429, -0.21680832, 0.6]   0.900000           27              0     27           0
28     [0.11183315, 0.6018912, 0.06668928, 0.60336334]                      [0.0, 0.0, 1.7331071, 0.6]   0.933333           28              0     28           0
29     [0.11317582, 0.6020708, 0.06421332, 0.55544704]                      [0.0, 0.0, 1.7578669, 0.6]   0.966667           29              0     29           0
30     [0.11507411, 0.6026758, 0.06394319, 0.50738245]                      [0.0, 0.0, 1.7605681, 0.6]   1.000000           30              0     30           0
31     [0.11709454, 0.6034639, 0.06575827, 0.47126302]                      [0.0, 0.0, 1.7424173, 0.6]   1.033333           31              0     31           0
32  [0.118767336, 0.60413146, 0.069524206, 0.45129636]                      [0.0, 0.0, 1.7047579, 0.6]   1.066667           32              0     32           0
33   [0.119820595, 0.60451454, 0.07498859, 0.44412196]                       [0.0, 0.0, 1.650114, 0.6]   1.100000           33              0     33           0
34       [0.1202297, 0.604518, 0.08183355, 0.44611895]                      [0.0, 0.0, 1.5816646, 0.6]   1.133333           34              0     34           0
35     [0.12009547, 0.6041384, 0.08974328, 0.45331058]                      [0.0, 0.0, 1.5025672, 0.6]   1.166667           35              0     35           0
36     [0.11956797, 0.60343885, 0.09843693, 0.4623764]                      [0.0, 0.0, 1.4156307, 0.6]   1.200000           36              0     36           0
37     [0.11880085, 0.60251766, 0.10768144, 0.4713579]                      [0.0, 0.0, 1.3231856, 0.6]   1.233333           37              0     37           0
38     [0.11792756, 0.60147655, 0.11729251, 0.4789437]                      [0.0, 0.0, 1.2270749, 0.6]   1.266667           38              0     38           0
39     [0.11705037, 0.6004028, 0.12713063, 0.48462945]                      [0.0, 0.0, 1.1286937, 0.6]   1.300000           39              0     39           0
40      [0.11623824, 0.5993625, 0.1370949, 0.48840338]                      [0.0, 0.0, 1.0290511, 0.6]   1.333333           40              0     40           0
41     [0.11552959, 0.59840167, 0.14711644, 0.4904967]                     [0.0, 0.0, 0.92883563, 0.6]   1.366667           41              0     41           0
42     [0.11491549, 0.59752643, 0.15708572, 0.4912521]                     [0.0, 0.0, 0.82914287, 0.6]   1.400000           42              0     42           0
43     [0.11435783, 0.59671843, 0.1668315, 0.49106234]                      [0.0, 0.0, 0.7316851, 0.6]   1.433333           43              0     43           0
44     [0.11382457, 0.5959645, 0.17616916, 0.49031943]                      [0.0, 0.0, 0.6383084, 0.6]   1.466667           44              0     44           0
45   [0.113303736, 0.59526753, 0.18494104, 0.48930752]                      [0.0, 0.0, 0.5505897, 0.6]   1.500000           45              0     45           0
46    [0.11280081, 0.59464467, 0.19303268, 0.48823515]                      [0.0, 0.0, 0.4696732, 0.6]   1.533333           46              0     46           0
47    [0.11233121, 0.59411883, 0.20037527, 0.48724902]        [0.27671316, 2.5406256, 0.39624724, 0.6]   1.566667           47              0     47           0
48    [0.112004496, 0.59458065, 0.2070289, 0.48640898]         [0.2799803, 2.5360074, 0.32971108, 0.6]   1.600000           48              0     48           0
49     [0.112009406, 0.5967601, 0.21301559, 0.4857268]         [0.27993122, 2.514213, 0.26984414, 0.6]   1.633333           49              0     49           0
50       [0.1124895, 0.6007515, 0.2182842, 0.48520005]         [0.2751303, 2.4742992, 0.21715795, 0.6]   1.666667           50              0     50           0
51     [0.11350555, 0.60635304, 0.22277978, 0.4848794]         [0.26496974, 2.418284, 0.17220226, 0.6]   1.700000           51              0     51           0
52        [0.11503605, 0.6132647, 0.2264816, 0.484775]        [0.24966481, 2.3491676, 0.13518396, 0.6]   1.733333           52              0     52           0
53     [0.11699662, 0.62118584, 0.22941607, 0.4848263]        [0.23005906, 2.2699559, 0.10583929, 0.6]   1.766667           53              0     53           0
54    [0.119265646, 0.6298533, 0.23165268, 0.48500246]        [0.20736879, 2.1832812, 0.08347328, 0.6]   1.800000           54              0     54           0
55    [0.12170766, 0.63905215, 0.23329142, 0.48524052]       [0.18294862, 2.0912926, 0.067085855, 0.6]   1.833333           55              0     55           0
56     [0.12419317, 0.6486101, 0.23444745, 0.48550692]       [0.15809356, 1.9957128, 0.055525552, 0.6]   1.866667           56              0     56           0
57     [0.12661055, 0.6583933, 0.23523706, 0.48575097]       [0.13391985, 1.8978809, 0.047629368, 0.6]   1.900000           57              0     57           0
58     [0.12887275, 0.66829944, 0.23576696, 0.4859586]       [0.111297734, 1.7988195, 0.04233042, 0.6]   1.933333           58              0     58           0
59     [0.12991838, 0.67824966, 0.2364904, 0.48612863]         [0.1008414, 1.6993178, 0.03509597, 0.6]   1.966667           59              0     59           0
60     [0.1300632, 0.68774146, 0.23784567, 0.48622924]       [0.09939327, 1.6043994, 0.021543274, 0.6]   2.000000           60              0     60           0
61     [0.13060534, 0.6966145, 0.23950881, 0.48630738]      [0.09397183, 1.5156689, 0.0049118497, 0.6]   2.033333           61              0     61           0
62     [0.13166194, 0.7050565, 0.24117407, 0.48640913]       [0.08340585, 1.431249, -0.011740724, 0.6]   2.066667           62              0     62           0
63       [0.1330207, 0.713282, 0.24264991, 0.48654962]      [0.06981826, 1.3489941, -0.026499186, 0.6]   2.100000           63              0     63           0
64     [0.13444819, 0.72143686, 0.24385017, 0.4867287]     [0.055543426, 1.2674456, -0.038501743, 0.6]   2.133333           64              0     64           0
65       [0.1357794, 0.7295879, 0.24475856, 0.4869423]      [0.042231392, 1.1859349, -0.04758559, 0.6]   2.166667           65              0     65           0
66      [0.13692342, 0.73774403, 0.24539772, 0.487171]      [0.030791102, 1.1043739, -0.05397712, 0.6]   2.200000           66              0     66           0
67     [0.13784577, 0.7458795, 0.24580777, 0.48739186]     [0.021567551, 1.0230196, -0.058077637, 0.6]   2.233333           67              0     67           0
68      [0.13854629, 0.7539552, 0.2460337, 0.48758474]     [0.014562371, 0.9422621, -0.060336925, 0.6]   2.266667           68              0     68           0
69    [0.13905899, 0.76188654, 0.24611215, 0.48771343]    [0.009435364, 0.86294895, -0.061121494, 0.6]   2.300000           69              0     69           0
70    [0.13943717, 0.76954865, 0.24606703, 0.48781025]    [0.0056535644, 0.7863275, -0.060670298, 0.6]   2.333333           70              0     70           0
71      [0.1397307, 0.7768198, 0.24591357, 0.48785678]    [0.002718253, 0.71361595, -0.059135675, 0.6]   2.366667           71              0     71           0
72     [0.13997154, 0.78361267, 0.24566418, 0.4878477]   [0.00030980958, 0.6456877, -0.056641735, 0.6]   2.400000           72              0     72           0
73    [0.14017323, 0.78988093, 0.24533166, 0.48778477]  [-0.0017069492, 0.58300453, -0.053316657, 0.6]   2.433333           73              0     73           0
74     [0.14033574, 0.79561514, 0.24493064, 0.4876921]   [-0.0033320638, 0.52566296, -0.04930636, 0.6]   2.466667           74              0     74           0
75     [0.14045271, 0.8008318, 0.24447718, 0.48756576]   [-0.0045017996, 0.47349602, -0.04477184, 0.6]   2.500000           75              0     75           0
76    [0.14051671, 0.80556476, 0.24398817, 0.48743019]   [-0.005141856, 0.42616674, -0.039881773, 0.6]   2.533333           76              0     76           0
77        [0.14052336, 0.80985576, 0.24348, 0.4872496]    [-0.00520828, 0.38325655, -0.034799922, 0.6]   2.566667           77              0     77           0
78      [0.14047264, 0.8137495, 0.24296765, 0.4870511]  [-0.0047011226, 0.34431925, -0.029676514, 0.6]   2.600000           78              0     78           0
79    [0.14036982, 0.81728816, 0.24246378, 0.48683408]   [-0.003672941, 0.30893263, -0.024637774, 0.6]   2.633333           79              0     79           0
80       [0.14022355, 0.8205111, 0.2419786, 0.4865986]     [-0.002210177, 0.276703, -0.019786075, 0.6]   2.666667           80              0     80           0
81     [0.14004487, 0.8234536, 0.24151982, 0.48636347]  [-0.0004233724, 0.24727806, -0.015198291, 0.6]   2.700000           81              0     81           0
82      [0.1398461, 0.8261458, 0.24109255, 0.48613456]    [0.001564225, 0.22035588, -0.010925455, 0.6]   2.733333           82              0     82           0
83     [0.13963939, 0.82861364, 0.2406997, 0.48592144]     [0.0036313483, 0.19567776, -2.0069969, 0.6]   2.766667           83              0     83           0
84    [0.13926853, 0.83055866, 0.23936546, 0.48571634]     [0.0073398976, 0.17622778, -1.9936546, 0.6]   2.800000           84              0     84           0
85       [0.13866484, 0.8318879, 0.2363606, 0.4854617]       [0.013376795, 0.16293481, -1.963606, 0.6]   2.833333           85              0     85           0
86     [0.13790956, 0.8327885, 0.23168452, 0.48500252]      [0.020929592, 0.15392874, -1.9168452, 0.6]   2.866667           86              0     86           0
87     [0.13713366, 0.8334953, 0.22563821, 0.48386955]      [0.028688673, 0.14686084, -1.8563821, 0.6]   2.900000           87              0     87           0
88      [0.13644673, 0.8342085, 0.21859403, 0.4822712]      [0.035557956, 0.13972946, -1.7859402, 0.6]   2.933333           88              0     88           0
89      [0.13593213, 0.8350281, 0.21087448, 0.4808601]      [0.040703923, 0.13153276, -1.7087448, 0.6]   2.966667           89              0     89           0
90       [0.13562627, 0.8359847, 0.202724, 0.47996154]       [0.043762606, 0.121966936, -1.62724, 0.6]   3.000000           90              0     90           0
91    [0.13553117, 0.83704793, 0.19430664, 0.47968405]        [0.04471356, 0.1113348, -1.5430664, 0.6]   3.033333           91              0     91           0
92     [0.13561831, 0.83816195, 0.18572763, 0.4800361]       [0.04384218, 0.10019494, -1.4572762, 0.6]   3.066667           92              0     92           0
93    [0.13584372, 0.83926195, 0.17705119, 0.48089913]        [0.04158809, 0.0891946, -1.3705119, 0.6]   3.100000           93              0     93           0
94    [0.13615902, 0.84028625, 0.16831663, 0.48198122]       [0.038435154, 0.0789513, -1.2831663, 0.6]   3.133333           94              0     94           0
95      [0.13651887, 0.8411844, 0.15955026, 0.4831323]      [0.034836557, 0.06997017, -1.1955026, 0.6]   3.166667           95              0     95           0
96      [0.13688551, 0.8419212, 0.1507733, 0.48416176]       [0.031170212, 0.06260201, -1.107733, 0.6]   3.200000           96              0     96           0
